Job Title,Company,Location,Required Skills,Salary
Retail Manager,Retail World,Virginia Beach,VA,Retail Management, Sales, Inventory, Customer Service,$45,000 - $65,000
Logistics Manager,Supply Chain Solutions,Oakland,CA,Logistics, Supply Chain, Inventory Management, Transportation,$80,000 - $120,000
Operations Manager,Operational Excellence,Tucson,AZ,Operations Management, Process Improvement, Efficiency, Team Leadership,$85,000 - $125,000
Training Specialist,Learning and Development,Albuquerque,NM,Training, Curriculum Development, Facilitation, E-learning,$65,000 - $95,000
Public Relations Specialist,PR Pros,Omaha,NE,Public Relations, Media Relations, Communication, Event Planning,$60,000 - $90,000
Social Media Manager,Social Buzz,Fresno,CA,Social Media Marketing, Content Creation, Analytics, Community Management,$55,000 - $80,000
UI/UX Designer,User Experience Design,Long Beach,CA,UI/UX Design, Wireframing, Prototyping, Usability Testing,$80,000 - $120,000
Cybersecurity Analyst,Security First,Mesa,AZ,Cybersecurity, Network Security, Incident Response, Vulnerability Assessment,$90,000 - $130,000
Cloud Engineer,Cloud Solutions,Atlanta,GA,Cloud Computing, AWS, Azure, GCP, Automation,$100,000 - $150,000
DevOps Engineer,DevOps Dynamics,Seattle,WA,DevOps, Automation, CI/CD, Containerization,$105,000 - $155,000
Product Manager,Product Innovations,San Francisco,CA,Product Management, Product Strategy, Roadmapping, Market Analysis,$110,000 - $160,000
AI Engineer,Artificial Intelligence Labs,New York,NY,Artificial Intelligence, Machine Learning, Deep Learning, Natural Language Processing,$120,000 - $200,000
Data Engineer,Data Pipeline,Chicago,IL,Data Engineering, ETL, Data Warehousing, Big Data,$100,000 - $150,000
Embedded Systems Engineer,Embedded Tech,Austin,TX,Embedded Systems, C/C++, Microcontrollers, Hardware Design,$95,000 - $140,000
Robotics Engineer,Robo Dynamics,Los Angeles,CA,Robotics
,San Jose,CA,Robotics, Python, C++, ROS, Automation,$105,000 - $155,000
Data Architect,Data Structures,Dallas,TX,Data Architecture, Data Modeling, ETL, Cloud Data,$115,000 - $165,000
Mobile App Developer,Mobile Masters,San Diego,CA,Mobile Development, iOS, Android, Swift, Kotlin,$90,000 - $130,000
Business Intelligence Analyst,BI Insights,Phoenix,AZ,Business Intelligence, Data Warehousing, SQL, Reporting,$85,000 - $125,000
Machine Learning Engineer,ML Solutions,Denver,CO,Machine Learning, Python, TensorFlow, PyTorch,$110,000 - $160,000
UX Researcher,User Research Labs,Seattle,WA,UX Research, User Testing, Data Analysis, Usability,$80,000 - $120,000
Technical Writer,Tech Write Now,Austin,TX,Technical Writing, Documentation, API, Software,$65,000 - $95,000
Sales Engineer,Tech Sales Pro,Atlanta,GA,Sales Engineering, Technical Sales, Product Demonstrations, Presentations,$95,000 - $140,000
Marketing Analyst,Marketing Metrics,Chicago,IL,Marketing Analytics, Data Analysis, Reporting, Campaign Analysis,$75,000 - $110,000
Financial Planner,Financial Future,New York,NY,Financial Planning, Investments, Retirement Planning, Estate Planning,$80,000 - $120,000
Compliance Officer,Compliance Solutions,San Francisco,CA,Compliance, Regulatory Requirements, Risk Assessment, Auditing,$90,000 - $130,000
Sustainability Manager,Green Initiatives,Los Angeles,CA,Sustainability, Environmental Management, Reporting, Policy Development,$85,000 - $125,000
Event Planner,Event Masters,Boston,MA,Event Planning, Coordination, Budgeting, Logistics,$60,000 - $90,000
Translator,Language Services,Miami,FL,Translation, Interpretation, Multilingual, Cultural Awareness,$55,000 - $80,000
Video Editor,Video Productions,Portland,OR,Video Editing, Adobe Premiere Pro, After Effects, Storytelling,$60,000 - $90,000
Animator,Animation Studios,Dallas,TX,Animation, 2D/3D Animation, Storyboarding, Character Design,$70,000 - $105,000
Sound Engineer,Audio Solutions,Minneapolis,MN,Sound Engineering, Audio Recording, Mixing, Mastering,$65,000 - $95,000
Photographer,Photo Studios,San Diego,CA,Photography, Lighting, Editing, Composition,$50,000 - $75,000
Journalist,News Network,Charlotte,NC,Journalism, Reporting, Writing, Interviewing,$60,000 - $90,000
Librarian,Library Services,Phoenix,AZ,Library Science, Research, Information Management, Cataloging,$55,000 - $80,000
Museum Curator,Museum Exhibits,Detroit,MI,Museum Studies, Curating, Research, Preservation,$65,000 - $95,000
Park Ranger,National Parks,St. Louis,MO,Environmental Science, Conservation, Public Safety, Interpretation,$50,000 - $75,000
Urban Planner,City Planning,Tampa,FL,Urban Planning, Land Use, Zoning, Transportation,$80,000 - $120,000
Social Worker,Social Services,Baltimore,MD,Social Work, Counseling, Case Management, Advocacy,$60,000 - $90,000
Psychologist,Mental Health Services,Pittsburgh,PA,Psychology, Counseling, Therapy, Assessment,$85,000 - $125,000
Speech Therapist,Speech Therapy Services,Orlando,FL,Speech Therapy, Communication Disorders, Rehabilitation, Assessment,$75,000 - $110,000
Occupational Therapist,Occupational Therapy Services,Raleigh,NC,Occupational Therapy, Rehabilitation, Patient Care, Assessment,$75,000 - $110,000
Physical Therapist,Physical Therapy Services,Sacramento,CA,Physical Therapy, Rehabilitation, Patient Care, Assessment,$75,000 - $110,000
Veterinarian,Animal Hospital,Houston,TX,Veterinary Medicine, Animal Care, Surgery, Diagnosis,$90,000 - $130,000
Dentist,Dental Clinic,Nashville,TN,Dentistry, Oral Health, Treatment, Diagnosis,$100,000 - $150,000
Optometrist,Eye Care Center,Columbus,OH,Optometry, Eye Care, Diagnosis, Treatment,$95,000 - $140,000
Chiropractor,Chiropractic Clinic,Indianapolis,IN,Chiropractic, Spinal Manipulation, Rehabilitation, Patient Care,$80,000 - $120,000
Dietitian,Nutrition Services,San Antonio,TX,Dietetics, Nutrition, Counseling, Meal Planning,$65,000 - $95,000
Fitness Trainer,Fitness Center,San Jose,CA,Fitness Training, Exercise, Nutrition, Client Motivation,$50,000 - $75,000
Massage Therapist,Massage Therapy Services,Kansas City,MO,Massage Therapy, Relaxation, Pain Management, Client Care,$45,000 - $65,000
Beautician,Beauty Salon,Las Vegas,NV,Cosmetology, Hair Care, Skin Care, Makeup,$40,000 - $60,000
Chef,Restaurant Kitchen,Cincinnati,OH,Culinary Arts, Cooking, Menu Planning, Food Safety,$55,000 - $80,000
Baker,Bakery Shop,Virginia Beach,VA,Baking, Pastry, Bread Making, Food Preparation,$45,000 - $65,000
Brewer,Brewery,Oakland,CA,Brewing, Beer Production, Quality Control, Inventory Management,$50,000 - $75,000
Winemaker,Winery,Tucson,AZ,Winemaking, Wine Production, Quality Control, Vineyard Management,$60,000 - $90,000
Farmer,Farm Operations,Albuquerque,NM,Agriculture, Crop Production, Livestock Management, Farm Equipment,$40,000 - $60,000
Fisherman,Fishing Industry,Omaha,NE,Fishing, Seafood Harvesting, Boat Operation, Equipment Maintenance,$35,000 - $55,000
Forester,Forestry Services,Fresno,CA,Forestry, Timber Management, Conservation, Environmental Science,$55,000 - $80,000
Geologist,Geological Services,Long Beach,CA,Geology,
Mineral Resources, Mining, Exploration, Resource Evaluation,$65,000 - $95,000
Meteorologist,Weather Forecasting, Atmospheric Science, Climate Analysis, Data Interpretation,$70,000 - $105,000
Astronomer,Astronomy Research, Observation, Data Analysis, Astrophysics,$85,000 - $125,000
Marine Biologist,Marine Biology Research, Oceanography, Ecology, Conservation,$65,000 - $95,000
Zoologist,Zoology Research, Animal Behavior, Ecology, Conservation,$60,000 - $90,000
Botanist,Botany Research, Plant Biology, Ecology, Conservation,$60,000 - $90,000
Geneticist,Genetics Research, Molecular Biology, Bioinformatics, Data Analysis,$90,000 - $130,000
Immunologist,Immunology Research, Virology, Microbiology, Cell Biology,$95,000 - $140,000
Pharmacologist,Pharmacology Research, Drug Development, Clinical Trials, Data Analysis,$100,000 - $150,000
Toxicologist,Toxicology Research, Risk Assessment, Environmental Science, Data Analysis,$85,000 - $125,000
Epidemiologist,Epidemiology Research, Public Health, Data Analysis, Statistical Modeling,$90,000 - $130,000
Biostatistician,Biostatistics Research, Statistical Analysis, Data Modeling, Clinical Trials,$95,000 - $140,000
Medical Writer,Medical Communications, Scientific Writing, Editing, Regulatory Documentation,$75,000 - $110,000
Clinical Research Associate,Clinical Research, Data Management, Regulatory Compliance, Monitoring,$70,000 - $105,000
Regulatory Affairs Specialist,Regulatory Compliance, FDA Regulations, Submissions, Auditing,$80,000 - $120,000
Quality Control Analyst,Quality Control, Testing, Data Analysis, Documentation,$60,000 - $90,000
Supply Chain Analyst,Supply Chain Management, Data Analysis, Inventory Control, Logistics,$75,000 - $110,000
Procurement Specialist,Procurement, Negotiation, Vendor Management, Contract Administration,$70,000 - $105,000
Logistics Coordinator,Logistics Operations, Shipping, Receiving, Inventory Management,$55,000 - $80,000
Warehouse Manager,Warehouse Operations, Inventory Control, Staff Management, Logistics,$65,000 - $95,000
Transportation Planner,Transportation Planning, Traffic Engineering, Public Transit, Data Analysis,$80,000 - $120,000
Freight Broker,Freight Brokerage, Logistics, Negotiation, Customer Service,$60,000 - $90,000
Customs Broker,Customs Brokerage, Import/Export, Regulatory Compliance, Documentation,$70,000 - $105,000
Import/Export Specialist,International Trade, Import/Export, Logistics, Regulatory Compliance,$75,000 - $110,000
Compliance Analyst,Compliance Management, Regulatory Requirements, Auditing, Risk Assessment,$80,000 - $120,000
Risk Analyst,Risk Management, Financial Analysis, Data Modeling, Reporting,$85,000 - $125,000
Fraud Analyst,Fraud Detection, Data Analysis, Investigation, Reporting,$75,000 - $110,000
Information Security Analyst,Information Security, Network Security, Vulnerability Assessment, Incident Response,$90,000 - $130,000
Data Privacy Officer,Data Privacy, GDPR, CCPA, Regulatory Compliance, Auditing,$95,000 - $140,000
Business Continuity Planner,Business Continuity, Disaster Recovery, Risk Management, Planning,$85,000 - $125,000
Emergency Management Specialist,Emergency Management, Disaster Response, Planning, Coordination,$70,000 - $105,000
Safety Officer,Safety Management, OSHA Regulations, Risk Assessment, Training,$65,000 - $95,000
Environmental Health Specialist,Environmental Health, Public Health, Regulatory Compliance, Inspections,$70,000 - $105,000
Construction Manager,Construction Management, Project Management, Budgeting, Scheduling,$90,000 - $130,000
Electrician,Electrical Systems, Wiring, Troubleshooting, Installation,$55,000 - $80,000
Plumber,Plumbing Systems, Installation, Repair, Maintenance,$50,000 - $75,000
HVAC Technician,HVAC Systems, Installation, Repair, Maintenance, Troubleshooting,$55,000 - $80,000
Carpenter,Carpentry, Construction, Framing, Finishing,$50,000 - $75,000
Welder,Welding, Fabrication, Metalwork, Construction,$50,000 - $75,000
Machinist,Machining, CNC, Fabrication, Tooling,$55,000 - $80,000
Mechanic,Mechanical Systems, Repair, Maintenance, Troubleshooting, Automotive,$50,000 - $75,000
Appliance Repair Technician,Appliance Repair, Troubleshooting, Maintenance, Customer Service,$45,000 - $65,000
Locksmith,Locksmithing, Security Systems, Installation, Repair,$45,000 - $65,000
Painter,Painting, Interior/Exterior, Surface Preparation, Finishing,$40,000 - $60,000
Landscaper,Landscaping, Lawn Care, Gardening, Maintenance,$40,000 - $60,000
Cleaner,Cleaning Services, Janitorial, Maintenance, Sanitation,$35,000 - $55,000
Security Guard,Security Services, Surveillance, Patrol, Access Control,$35,000 - $55,000
Delivery Driver,Delivery Services, Driving, Navigation, Customer Service,$35,000 - $55,000
Taxi Driver,Taxi Services, Driving, Navigation, Customer Service,$35,000 - $55,000
Bus Driver,Bus Services, Driving, Passenger Safety, Customer Service,$40,000 - $60,000
Truck Driver,Trucking, Driving, Logistics, Transportation,$45,000 - $65,000
Pilot,Aviation, Flight Operations, Navigation, Safety,$100,000 - $200,000
Flight Attendant,Aviation, Customer Service, Safety, Emergency Procedures,$40,000 - $60,000
Air Traffic Controller,Air Traffic Control, Radar, Communication, Safety,$80,000 - $120,000
Ship Captain,Maritime, Navigation, Ship Operations, Safety,$90,000 - $130,000
Sailor,Maritime, Ship Maintenance, Navigation, Seamanship,$40,000 - $60,000
Dockworker,Maritime, Cargo Handling, Loading/Unloading, Equipment Operation,$35,000 - $55,000
Railroad Engineer,Railroad Operations, Train Operation, Safety, Maintenance,$60,000 - $90,000
Railroad Conductor,Railroad Operations, Passenger Safety, Ticket Collection, Customer Service,$45,000 - $65,000
Railroad Worker,Railroad Maintenance, Track Maintenance, Equipment Operation, Safety,$40,000 - $60,000
Transit Operator,Public Transit, Driving, Passenger Safety, Customer Service,$40,000 - $60,000
Courier,Courier Services, Delivery, Navigation, Customer Service,$35,000 - $55,000
Messenger,Messenger Services, Delivery, Navigation, Customer Service,$35,000 - $55,000
Mail Carrier,Postal Services, Delivery, Navigation, Customer Service,$40,000 - $60,000
Telemarketer,Telemarketing, Sales, Customer Service, Communication,$30,000 - $45,000
Customer Service Manager,Customer Service Management, Team Leadership, Problem Solving, Customer Relations,$60,000 - $90,000
Call Center Supervisor,Call Center Management, Team Leadership, Performance Monitoring, Customer Service,$55,000 - $80,000
Retail Sales Associate,Retail Sales, Customer
Service, Customer Service, Sales, Communication, Problem Solving,$30,000 - $45,000
Cashier,Retail, Customer Service, Cash Handling, Point of Sale,$25,000 - $35,000
Bartender,Restaurant/Bar, Mixology, Customer Service, Inventory Management,$30,000 - $45,000
Waiter/Waitress,Restaurant, Customer Service, Food Service, Table Service,$25,000 - $35,000
Host/Hostess,Restaurant, Customer Service, Seating Guests, Reservations,$20,000 - $30,000
Cook,Restaurant Kitchen, Food Preparation, Cooking Techniques, Sanitation,$30,000 - $45,000
Dishwasher,Restaurant Kitchen, Dishwashing, Sanitation, Kitchen Maintenance,$20,000 - $30,000
Janitor,Janitorial Services, Cleaning, Sanitation, Maintenance,$25,000 - $35,000
Housekeeper,Housekeeping Services, Cleaning, Laundry, Guest Services,$25,000 - $35,000
Nanny,Childcare, Child Supervision, Feeding, Diapering,$30,000 - $45,000
Babysitter,Childcare, Child Supervision, Entertainment, Safety,$20,000 - $30,000
Home Health Aide,Home Care, Patient Care, Personal Care, Assistance with Activities of Daily Living,$30,000 - $45,000
Caregiver,Elder Care, Patient Care, Personal Care, Assistance with Activities of Daily Living,$30,000 - $45,000
Personal Trainer,Fitness Training, Exercise, Nutrition, Client Motivation,$40,000 - $60,000
Massage Therapist,Massage Therapy, Relaxation, Pain Management, Client Care,$45,000 - $65,000
Aesthetician,Skin Care, Facials, Waxing, Body Treatments,$35,000 - $50,000
Hair Stylist,Hairdressing, Cutting, Styling, Coloring,$30,000 - $45,000
Manicurist/Pedicurist,Nail Care, Manicures, Pedicures, Nail Art,$25,000 - $35,000
Barber,Barbering, Haircuts, Shaving, Styling,$30,000 - $45,000
Makeup Artist,Makeup Application, Special Effects, Bridal Makeup, Fashion Makeup,$35,000 - $50,000
Photographer,Photography, Lighting, Editing, Composition,$50,000 - $75,000
Videographer,Videography, Video Production, Editing, Storytelling,$55,000 - $80,000
Musician,Music Performance, Instruments, Composition, Recording,$35,000 - $55,000
Singer,Music Performance, Vocal Technique, Stage Presence, Recording,$30,000 - $45,000
Actor,Acting, Stage Performance, Film, Television,$40,000 - $60,000
Dancer,Dance Performance, Choreography, Stage Presence, Technique,$35,000 - $55,000
Artist,Visual Arts, Painting, Drawing, Sculpture,$30,000 - $45,000
Writer,Writing, Creative Writing, Fiction, Non-Fiction,$40,000 - $60,000
Poet,Poetry, Writing, Performance, Publication,$25,000 - $35,000
Journalist,Journalism, Reporting, Writing, Interviewing,$60,000 - $90,000
Editor,Editing, Proofreading, Copyediting, Manuscript Evaluation,$50,000 - $75,000
Proofreader,Proofreading, Editing, Accuracy, Attention to Detail,$40,000 - $60,000
Translator,Language Services, Translation, Interpretation, Multilingual, Cultural Awareness,$55,000 - $80,000
Interpreter,Language Services, Interpretation, Communication, Cultural Awareness,$50,000 - $75,000
Teacher,Education, Teaching, Curriculum Development, Classroom Management,$50,000 - $75,000
Professor,Higher Education, Teaching, Research, Publication,$70,000 - $105,000
Tutor,Education, Subject Matter Expertise, Instruction, Student Support,$30,000 - $45,000
Librarian,Library Science, Research, Information Management, Cataloging,$55,000 - $80,000
Archivist,Archives, Preservation, Cataloging, Research,$50,000 - $75,000
Museum Curator,Museum Exhibits, Curating, Research, Preservation,$65,000 - $95,000
Historian,History Research, Historical Analysis, Archival Research, Publication,$60,000 - $90,000
Archaeologist,Archaeology, Excavation, Research, Analysis,$60,000 - $90,000
Anthropologist,Anthropology, Cultural Studies, Ethnography, Research,$65,000 - $95,000
Sociologist,Sociology, Social Research, Data Analysis, Theory,$70,000 - $105,000
Political Scientist,Political Science, Political Theory, Research, Analysis,$75,000 - $110,000
Economist,Economics, Economic Analysis, Research, Modeling,$80,000 - $120,000
Psychologist,Psychology, Counseling, Therapy, Assessment,$85,000 - $125,000
Psychiatrist,Psychiatry, Diagnosis, Treatment, Medication Management,$150,000 - $250,000
Social Worker,Social Services, Counseling, Case Management, Advocacy,$60,000 - $90,000
Counselor,Counseling, Therapy, Guidance, Support,$50,000 - $75,000
Therapist,Therapy, Counseling, Treatment, Rehabilitation,$60,000 - $90,000
Occupational Therapist,Occupational Therapy, Rehabilitation, Patient Care, Assessment,$75,000 - $110,000
Physical Therapist,Physical Therapy, Rehabilitation, Patient Care, Assessment,$75,000 - $110,000
Speech-Language Pathologist,Speech-Language Pathology, Communication Disorders, Rehabilitation, Assessment,$75,000 - $110,000
Audiologist,Audiology, Hearing Assessment, Hearing Aids, Rehabilitation,$80,000 - $120,000
Dietitian/Nutritionist,Nutrition, Diet Planning, Counseling, Weight Management,$60,000 - $90,000
Chef,Restaurant Kitchen, Culinary Arts, Cooking, Menu Planning,$55,000 - $80,000
Cook,Restaurant Kitchen, Food Preparation, Cooking Techniques, Sanitation,$30,000 - $45,000
Baker,Bakery, Baking, Pastry, Bread Making,$45,000 - $65,000
Barista,Coffee Shop, Coffee Brewing, Customer Service, Food Preparation,$25,000 - $35,000
Bartender,Restaurant/Bar, Mixology, Customer Service, Inventory Management,$30,000 - $45,000
Waiter/Waitress,Restaurant, Customer Service, Food Service, Table Service,$25,000 - $35,000
Host/Hostess,Restaurant, Customer Service, Seating Guests, Reservations,$20,000 - $30,000
Dishwasher,Restaurant Kitchen, Dishwashing, Sanitation, Kitchen Maintenance,$20,000 - $30,000
Busboy/Busgirl,Restaurant, Clearing Tables, Setting Tables, Cleaning,$20,000 - $30,000
Food Server,Restaurant, Customer Service, Food Service, Table Service,$25,000 - $35,000
Food Preparer,Restaurant Kitchen, Food Preparation, Cooking, Sanitation,$25,000 - $35,000
Line Cook,Restaurant Kitchen, Cooking, Food Preparation, Teamwork,$30,000 - $45,000
Sous Chef,Restaurant Kitchen, Cooking, Menu Development, Supervision,$45,00
Customer Success Manager,CustomerFirst Inc.,San Mateo,CA,Customer Relationship Management, Problem Solving, Communication, Product Knowledge,$75,000 - $110,000
AI Research Scientist,Innovation Labs,Cambridge,MA,Machine Learning, Deep Learning, Python, Research,$120,000 - $200,000
Mobile UI Designer,App Design Studio,Portland,OR,UI/UX Design, Sketch, Figma, Mobile Design,$70,000 - $105,000
Cloud Security Engineer,Secure Cloud Solutions,Denver,CO,Cloud Security, AWS Security, Azure Security, Incident Response,$95,000 - $140,000
Blockchain Developer,CryptoTech Inc.,Miami,FL,Blockchain, Solidity, Ethereum, Smart Contracts,$100,000 - $150,000
Digital Marketing Specialist,MarketWise Group,Atlanta,GA,Digital Marketing, SEO, Social Media, Analytics,$65,000 - $95,000
Financial Risk Manager,Risk Management Corp.,Philadelphia,PA,Financial Risk, Modeling, Analysis, Compliance,$90,000 - $130,000
Healthcare Administrator,Health Systems Inc.,Minneapolis,MN,Healthcare Management, Operations, Compliance, Leadership,$80,000 - $120,000
Industrial Designer,Product Design Co.,San Diego,CA,Industrial Design, CAD, Prototyping, Manufacturing,$75,000 - $110,000
Legal Counsel,Law Firm Associates,Charlotte,NC,Legal, Contracts, Compliance, Litigation,$110,000 - $160,000
Pharmaceutical Sales Representative,Pharma Sales Group,Phoenix,AZ,Pharmaceutical Sales, Product Knowledge, Relationship Building, Negotiation,$70,000 - $105,000
Renewable Energy Engineer,Green Power Solutions,Detroit,MI,Renewable Energy, Solar, Wind, Project Management,$90,000 - $130,000
Supply Chain Manager,Global Logistics Inc.,St. Louis,MO,Supply Chain, Logistics, Inventory Management, Procurement,$85,000 - $125,000
Technical Recruiter,Talent Acquisition Co.,Tampa,FL,Technical Recruiting, Sourcing, Interviewing, Candidate Management,$65,000 - $95,000
Video Game Designer,Game Dev Studios,Baltimore,MD,Game Design, Unity, Unreal Engine, Storytelling,$80,000 - $120,000
Actuary,Insurance Analytics,Pittsburgh,PA,Actuarial Science, Risk Assessment, Modeling, Statistics,$95,000 - $140,000
Biotechnologist,BioTech Innovations,Orlando,FL,Biotechnology, Research, Lab Techniques, Data Analysis,$85,000 - $125,000
Corporate Trainer,Learning Solutions Inc.,Raleigh,NC,Training, Curriculum Development, Facilitation, E-learning,$60,000 - $90,000
E-commerce Manager,Online Retail Group,Sacramento,CA,E-commerce, Online Marketing, Analytics, Customer Service,$75,000 - $110,000
Fashion Designer,Fashion Forward Studios,Houston,TX,Fashion Design, Pattern Making, Sewing, Trend Analysis,$65,000 - $95,000
Film Editor,Movie Magic Productions,Nashville,TN,Film Editing, Adobe Premiere Pro, Storytelling, Visual Effects,$70,000 - $105,000
Geospatial Analyst,Mapping Solutions Inc.,Columbus,OH,Geospatial Analysis, GIS, Remote Sensing, Data Visualization,$80,000 - $120,000
Hospital Administrator,Medical Center Group,Indianapolis,IN,Hospital Administration, Operations, Compliance, Patient Care,$90,000 - $130,000
Instructional Designer,Educational Tech Co.,San Antonio,TX,Instructional Design, E-learning, Curriculum Development, Learning Management Systems,$75,000 - $110,000
Investment Banker,Financial Services Corp.,San Jose,CA,Investment Banking, Financial Modeling, Mergers and Acquisitions, Valuation,$120,000 - $200,000
Market Research Analyst,Market Insights Group,Kansas City,MO,Market Research, Data Analysis, Survey Design, Reporting,$70,000 - $105,000
Multimedia Artist,Creative Media Studios,Las Vegas,NV,Multimedia Design, Animation, Graphic Design, Video Editing,$65,000 - $95,000
Operations Analyst,Operational Excellence Co.,Cincinnati,OH,Operations Analysis, Process Improvement, Data Analysis, Reporting,$80,000 - $120,000
Public Health Specialist,Public Health Services,Virginia Beach,VA,Public Health, Epidemiology, Health Education, Policy Analysis,$75,000 - $110,000
Real Estate Developer,Property Development Group,Oakland,CA,Real Estate Development, Project Management, Financial Analysis, Negotiation,$90,000 - $130,000
Social Media Strategist,Social Buzz Agency,Tucson,AZ,Social Media Strategy, Content Creation, Analytics, Community Management,$60,000 - $90,000
Sustainability Consultant,Green Business Solutions,Albuquerque,NM,Sustainability Consulting, Environmental Management, Reporting, Policy Development,$85,000 - $125,000
Technical Sales Engineer,Tech Sales Solutions,Omaha,NE,Technical Sales, Product Demonstrations, Presentations, Customer Relations,$95,000 - $140,000
UX Writer,User Experience Writing,Fresno,CA,UX Writing, Content Strategy, User Research, Information Architecture,$70,000 - $105,000
Web Content Manager,Digital Content Group,Long Beach,CA,Web Content Management, SEO, Content Strategy, Analytics,$65,000 - $95,000
Wildlife Biologist,Conservation Research,Mesa,AZ,Wildlife Biology, Ecology, Conservation, Research,$60,000 - $90,000
Agricultural Engineer,Farming Tech Solutions,Atlanta,GA,Agricultural Engineering, Farm Equipment, Irrigation, Crop Management,$85,000 - $125,000
Appraiser,Real Estate Valuation,Seattle,WA,Real Estate Appraisal, Property Valuation, Market Analysis, Inspection,$75,000 - $110,000
Audio Engineer,Sound Design Studios,San Francisco,CA,Audio Engineering, Recording, Mixing, Mastering, Sound Design,$70,000 - $105,000
Automotive Engineer,Vehicle Design Co.,New York,NY,Automotive Engineering, Vehicle Design, Testing, Manufacturing,$90,000 - $130,000
Aviation Maintenance Technician,Aircraft Maintenance Services,Chicago,IL,Aviation Maintenance, Aircraft Repair, Inspection, Troubleshooting,$65,000 - $95,000
Cartographer,Mapping Services Inc.,Austin,TX,Cartography, Map Design, GIS, Data Visualization,$75,000 - $110,000
Chemical Technician,Chemical Manufacturing Co.,Los Angeles,CA,Chemical Technician, Lab Techniques, Quality Control, Safety,$55,000 - $80,000
